"Label (Grouping)","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher"
"    Males","","","","","","","","","",""
"        Estimate","225,041","26,806","25,719","64,262","51,714","20,356","25,306","10,878","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","11.9%","11.4%","28.6%","23.0%","9.0%","11.2%","4.8%","76.7%","16.1%"
"    Females","","","","","","","","","",""
"        Estimate","235,520","26,958","25,794","62,435","56,497","22,986","26,976","13,874","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","11.4%","11.0%","26.5%","24.0%","9.8%","11.5%","5.9%","77.6%","17.3%"
"San Luis Obispo County, California","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","188,750","6,722","8,615","35,036","48,300","21,791","43,979","24,307","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.6%","4.6%","18.6%","25.6%","11.5%","23.3%","12.9%","91.9%","36.2%"
"    Males","","","","","","","","","",""
"        Estimate","93,810","3,151","5,425","18,098","24,547","10,987","20,600","11,002","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.4%","5.8%","19.3%","26.2%","11.7%","22.0%","11.7%","90.9%","33.7%"
"    Females","","","","","","","","","",""
"        Estimate","94,940","3,571","3,190","16,938","23,753","10,804","23,379","13,305","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.8%","3.4%","17.8%","25.0%","11.4%","24.6%","14.0%","92.9%","38.6%"
"San Mateo County, California","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","547,316","34,780","24,778","84,004","92,144","36,117","160,180","115,313","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.4%","4.5%","15.3%","16.8%","6.6%","29.3%","21.1%","89.1%","50.3%"
"    Males","","","","","","","","","",""
"        Estimate","265,540","17,309","13,655","39,551","45,190","17,157","75,566","57,112","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","6.5%","5.1%","14.9%","17.0%","6.5%","28.5%","21.5%","88.3%","50.0%"
"    Females","","","","","","","","","",""
"        Estimate","281,776","17,471","11,123","44,453","46,954","18,960","84,614","58,201","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","6.2%","3.9%","15.8%","16.7%","6.7%","30.0%","20.7%","89.9%","50.7%"
"Santa Barbara County, California","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","275,969","37,077","17,569","47,780","62,444","21,786","51,285","38,028","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","13.4%","6.4%","17.3%","22.6%","7.9%","18.6%","13.8%","80.2%","32.4%"
"    Males","","","","","","","","","",""
"        Estimate","136,247","21,347","9,130","22,198","30,962","8,865","24,578","19,167","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","15.7%","6.7%","16.3%","22.7%","6.5%","18.0%","14.1%","77.6%","32.1%"
"    Females","","","","","","","","","",""
"        Estimate","139,722","15,730","8,439","25,582","31,482","12,921","26,707","18,861","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","11.3%","6.0%","18.3%","22.5%","9.2%","19.1%","13.5%","82.7%","32.6%"
"Santa Clara County, California","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","1,321,019","99,902","68,559","198,127","197,480","83,346","371,235","302,370","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","7.6%","5.2%","15.0%","14.9%","6.3%","28.1%","22.9%","87.2%","51.0%"
"    Males","","","","","","","","","",""
"        Estimate","660,088","45,620","36,043","97,406","94,916","35,404","183,935","166,764","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","6.9%","5.5%","14.8%","14.4%","5.4%","27.9%","25.3%","87.6%","53.1%"
"    Females","","","","","","","","","",""
"        Estimate","660,931","54,282","32,516","100,721","102,564","47,942","187,300","135,606","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","8.2%","4.9%","15.2%","15.5%","7.3%","28.3%","20.5%","86.9%","48.9%"
"Santa Cruz County, California","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","179,041","15,886","6,871","28,049","41,253","14,431","41,291","31,260","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","8.9%","3.8%","15.7%","23.0%","8.1%","23.1%","17.5%","87.3%","40.5%"
"    Males","","","","","","","","","",""
"        Estimate","87,553","7,404","3,518","17,155","21,025","5,274","18,961","14,216","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","8.5%","4.0%","19.6%","24.0%","6.0%","21.7%","16.2%","87.5%","37.9%"
"    Females","","","","","","","","","",""
"        Estimate","91,488","8,482","3,353","10,894","20,228","9,157","22,330","17,044","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","9.3%","3.7%","11.9%","22.1%","10.0%","24.4%","18.6%","87.1%","43.0%"
"Shasta County, California","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","126,208","3,323","7,170","31,960","42,773","13,406","18,845","8,731","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.6%","5.7%","25.3%","33.9%","10.6%","14.9%","6.9%","91.7%","21.8%"
"    Males","","","","","","","","","",""
"        Estimate","60,920","1,259","4,099","15,807","19,808","6,499","9,010","4,438","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.1%","6.7%","25.9%","32.5%","10.7%","14.8%","7.3%","91.2%","22.1%"
"    Females","","","","","","","","","",""
"        Estimate","65,288","2,064","3,071","16,153","22,965","6,907","9,835","4,293","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.2%","4.7%","24.7%","35.2%","10.6%","15.1%","6.6%","92.1%","21.6%"
"Solano County, California","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","300,893","16,375","20,668","70,351","86,072","31,111","53,462","22,854","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","5.4%","6.9%","23.4%","28.6%","10.3%","17.8%","7.6%","87.7%","25.4%"
"    Males","","","","","","","","","",""
"        Estimate","146,558","7,160","11,150","35,292","43,264","14,189","25,036","10,467","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.9%","7.6%","24.1%","29.5%","9.7%","17.1%","7.1%","87.5%","24.2%"
"    Females","","","","","","","","","",""
"        Estimate","154,335","9,215","9,518","35,059","42,808","16,922","28,426","12,387","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","6.0%","6.2%","22.7%","27.7%","11.0%","18.4%","8.0%","87.9%","26.4%"
"Sonoma County, California","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","360,452","22,414","21,317","66,982","92,522","35,135","77,301","44,781","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.2%","5.9%","18.6%","25.7%","9.7%","21.4%","12.4%","87.9%","33.9%"
"    Males","","","","","","","","","",""
"        Estimate","173,505","10,826","11,861","34,068","44,526","15,242","35,343","21,639","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","6.2%","6.8%","19.6%","25.7%","8.8%","20.4%","12.5%","86.9%","32.8%"
"    Females","","","","","","","","","",""
"        Estimate","186,947","11,588","9,456","32,914","47,996","19,893","41,958","23,142","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","6.2%","5.1%","17.6%","25.7%","10.6%","22.4%","12.4%","88.7%","34.8%"
"Stanislaus County, California","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","342,516","44,649","36,338","94,190","84,498","27,221","38,350","17,270","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","13.0%","10.6%","27.5%","24.7%","7.9%","11.2%","5.0%","76.4%","16.2%"
"    Males","","","","","","","","","",""
"        Estimate","165,760","22,821","18,922","48,588","37,687","10,990","17,736","9,016","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","13.8%","11.4%","29.3%","22.7%","6.6%","10.7%","5.4%","74.8%","16.1%"
"    Females","","","","","","","","","",""
"        Estimate","176,756","21,828","17,416","45,602","46,811","16,231","20,614","8,254","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","12.3%","9.9%","25.8%","26.5%","9.2%","11.7%","4.7%","77.8%","16.3%"
"Sutter County, California","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","61,873","8,754","6,252","13,546","16,367","6,967","7,251","2,736","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","14.1%","10.1%","21.9%","26.5%","11.3%","11.7%","4.4%","75.7%","16.1%"
"    Males","","","","","","","","","",""
"        Estimate","29,767","3,969","3,321","7,448","7,184","3,172","3,564","1,109","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","13.3%","11.2%","25.0%","24.1%","10.7%","12.0%","3.7%","75.5%","15.7%"
"    Females","","","","","","","","","",""
"        Estimate","32,106","4,785","2,931","6,098","9,183","3,795","3,687","1,627","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","14.9%","9.1%","19.0%","28.6%","11.8%","11.5%","5.1%","76.0%","16.6%"
"Tulare County, California","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","269,538","46,689","35,771","69,771","60,106","20,282","23,766","13,153","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","17.3%","13.3%","25.9%","22.3%","7.5%","8.8%","4.9%","69.4%","13.7%"
"    Males","","","","","","","","","",""
"        Estimate","132,347","23,597","18,052","36,503","30,860","7,508","9,676","6,151","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","17.8%","13.6%","27.6%","23.3%","5.7%","7.3%","4.6%","68.5%","12.0%"
"    Females","","","","","","","","","",""
"        Estimate","137,191","23,092","17,719","33,268","29,246","12,774","14,090","7,002","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","16.8%","12.9%","24.2%","21.3%","9.3%","10.3%","5.1%","70.3%","15.4%"
"Ventura County, California","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","567,552","54,372","35,936","105,220","129,581","52,014","115,645","74,784","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","9.6%","6.3%","18.5%","22.8%","9.2%","20.4%","13.2%","84.1%","33.6%"
"    Males","","","","","","","","","",""
"        Estimate","276,877","27,618","19,327","53,404","61,553","22,003","55,223","37,749","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","10.0%","7.0%","19.3%","22.2%","7.9%","19.9%","13.6%","83.0%","33.6%"
"    Females","","","","","","","","","",""
"        Estimate","290,675","26,754","16,609","51,816","68,028","30,011","60,422","37,035","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","9.2%","5.7%","17.8%","23.4%","10.3%","20.8%","12.7%","85.1%","33.5%"
"Yolo County, California","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","127,671","9,864","9,417","22,892","25,158","8,177","26,969","25,194","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","7.7%","7.4%","17.9%","19.7%","6.4%","21.1%","19.7%","84.9%","40.9%"
"    Males","","","","","","","","","",""
"        Estimate","62,772","5,071","5,406","10,384","13,161","3,283","13,272","12,195","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","8.1%","8.6%","16.5%","21.0%","5.2%","21.1%","19.4%","83.3%","40.6%"
"    Females","","","","","","","","","",""
"        Estimate","64,899","4,793","4,011","12,508","11,997","4,894","13,697","12,999","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","7.4%","6.2%","19.3%","18.5%","7.5%","21.1%","20.0%","86.4%","41.1%"
"Yuba County, California","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","46,987","2,655","4,688","10,799","14,940","5,170","6,484","2,251","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","5.7%","10.0%","23.0%","31.8%","11.0%","13.8%","4.8%","84.4%","18.6%"
"    Males","","","","","","","","","",""
"        Estimate","23,451","1,109","2,675","5,770","7,354","2,630","3,153","760","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.7%","11.4%","24.6%","31.4%","11.2%","13.4%","3.2%","83.9%","16.7%"
"    Females","","","","","","","","","",""
"        Estimate","23,536","1,546","2,013","5,029","7,586","2,540","3,331","1,491","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","6.6%","8.6%","21.4%","32.2%","10.8%","14.2%","6.3%","84.9%","20.5%"
"Adams County, Colorado","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","318,077","24,985","29,749","92,677","69,176","28,482","50,280","22,728","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","7.9%","9.4%","29.1%","21.7%","9.0%","15.8%","7.1%","82.8%","23.0%"
"    Males","","","","","","","","","",""
"        Estimate","158,455","12,729","16,263","48,907","31,638","12,848","25,744","10,326","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","8.0%","10.3%","30.9%","20.0%","8.1%","16.2%","6.5%","81.7%","22.8%"
"    Females","","","","","","","","","",""
"        Estimate","159,622","12,256","13,486","43,770","37,538","15,634","24,536","12,402","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","7.7%","8.4%","27.4%","23.5%","9.8%","15.4%","7.8%","83.9%","23.1%"
"Arapahoe County, Colorado","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","429,459","11,730","19,604","94,113","87,623","38,234","112,906","65,249","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.7%","4.6%","21.9%","20.4%","8.9%","26.3%","15.2%","92.7%","41.5%"
"    Males","","","","","","","","","",""
"        Estimate","208,263","5,371","9,966","44,120","43,909","17,012","55,832","32,053","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.6%","4.8%","21.2%","21.1%","8.2%","26.8%","15.4%","92.6%","42.2%"
"    Females","","","","","","","","","",""
"        Estimate","221,196","6,359","9,638","49,993","43,714","21,222","57,074","33,196","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.9%","4.4%","22.6%","19.8%","9.6%","25.8%","15.0%","92.8%","40.8%"
"Boulder County, Colorado","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","210,587","3,842","6,392","27,928","32,110","12,636","68,172","59,507","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","1.8%","3.0%","13.3%","15.2%","6.0%","32.4%","28.3%","95.1%","60.6%"
"    Males","","","","","","","","","",""
"        Estimate","104,271","1,634","3,098","14,302","15,632","6,618","32,320","30,667","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","1.6%","3.0%","13.7%","15.0%","6.3%","31.0%","29.4%","95.5%","60.4%"
"    Females","","","","","","","","","",""
"        Estimate","106,316","2,208","3,294","13,626","16,478","6,018","35,852","28,840","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.1%","3.1%","12.8%","15.5%","5.7%","33.7%","27.1%","94.8%","60.8%"
"Broomfield County, Colorado","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","45,359","646","813","6,978","9,640","3,721","14,294","9,267","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","1.4%","1.8%","15.4%","21.3%","8.2%","31.5%","20.4%","96.8%","51.9%"
"    Males","","","","","","","","","",""
"        Estimate","22,528","287","370","2,978","5,479","1,591","7,005","4,818","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","1.3%","1.6%","13.2%","24.3%","7.1%","31.1%","21.4%","97.1%","52.5%"
"    Females","","","","","","","","","",""
"        Estimate","22,831","359","443","4,000","4,161","2,130","7,289","4,449","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.6%","1.9%","17.5%","18.2%","9.3%","31.9%","19.5%","96.5%","51.4%"
"Denver County, Colorado","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","494,647","29,361","34,126","89,883","80,691","26,139","143,029","91,418","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","5.9%","6.9%","18.2%","16.3%","5.3%","28.9%","18.5%","87.2%","47.4%"
"    Males","","","","","","","","","",""
"        Estimate","247,827","15,038","17,196","47,645","39,384","13,129","71,631","43,804","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","6.1%","6.9%","19.2%","15.9%","5.3%","28.9%","17.7%","87.0%","46.6%"
"    Females","","","","","","","","","",""
"        Estimate","246,820","14,323","16,930","42,238","41,307","13,010","71,398","47,614","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","5.8%","6.9%","17.1%","16.7%","5.3%","28.9%","19.3%","87.3%","48.2%"
"Douglas County, Colorado","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","215,761","1,364","1,920","24,611","42,961","16,685","79,741","48,479","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","0.6%","0.9%","11.4%","19.9%","7.7%","37.0%","22.5%","98.5%","59.4%"
"    Males","","","","","","","","","",""
"        Estimate","105,543","685","885","10,103","19,317","8,612","40,190","25,751","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","0.6%","0.8%","9.6%","18.3%","8.2%","38.1%","24.4%","98.5%","62.5%"
"    Females","","","","","","","","","",""
"        Estimate","110,218","679","1,035","14,508","23,644","8,073","39,551","22,728","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","0.6%","0.9%","13.2%","21.5%","7.3%","35.9%","20.6%","98.4%","56.5%"
"El Paso County, Colorado","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","441,771","8,622","16,118","87,447","106,230","52,483","103,858","67,013","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.0%","3.6%","19.8%","24.0%","11.9%","23.5%","15.2%","94.4%","38.7%"
"    Males","","","","","","","","","",""
"        Estimate","217,089","4,818","7,968","42,168","51,112","25,348","50,500","35,175","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.2%","3.7%","19.4%","23.5%","11.7%","23.3%","16.2%","94.1%","39.5%"
"    Females","","","","","","","","","",""
"        Estimate","224,682","3,804","8,150","45,279","55,118","27,135","53,358","31,838","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.7%","3.6%","20.2%","24.5%","12.1%","23.7%","14.2%","94.7%","37.9%"
"Jefferson County, Colorado","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","409,083","7,480","16,307","81,575","93,825","31,865","115,276","62,755","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","1.8%","4.0%","19.9%","22.9%","7.8%","28.2%","15.3%","94.2%","43.5%"
"    Males","","","","","","","","","",""
"        Estimate","200,333","3,740","9,196","40,550","46,076","14,636","57,104","29,031","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","1.9%","4.6%","20.2%","23.0%","7.3%","28.5%","14.5%","93.5%","43.0%"
"    Females","","","","","","","","","",""
"        Estimate","208,750","3,740","7,111","41,025","47,749","17,229","58,172","33,724","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.8%","3.4%","19.7%","22.9%","8.3%","27.9%","16.2%","94.8%","44.0%"
"Larimer County, Colorado","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","222,045","2,651","5,554","46,045","43,957","19,946","60,738","43,154","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","1.2%","2.5%","20.7%","19.8%","9.0%","27.4%","19.4%","96.3%","46.8%"
"    Males","","","","","","","","","",""
"        Estimate","110,203","875","3,430","23,785","22,589","8,940","28,573","22,011","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","0.8%","3.1%","21.6%","20.5%","8.1%","25.9%","20.0%","96.1%","45.9%"
"    Females","","","","","","","","","",""
"        Estimate","111,842","1,776","2,124","22,260","21,368","11,006","32,165","21,143","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.6%","1.9%","19.9%","19.1%","9.8%","28.8%","18.9%","96.5%","47.7%"
"Mesa County, Colorado","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","100,672","2,578","8,867","30,598","24,271","9,160","16,025","9,173","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.6%","8.8%","30.4%","24.1%","9.1%","15.9%","9.1%","88.6%","25.0%"
"    Males","","","","","","","","","",""
"        Estimate","48,616","1,239","4,829","15,594","12,347","3,005","6,778","4,824","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.5%","9.9%","32.1%","25.4%","6.2%","13.9%","9.9%","87.5%","23.9%"
"    Females","","","","","","","","","",""
"        Estimate","52,056","1,339","4,038","15,004","11,924","6,155","9,247","4,349","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.6%","7.8%","28.8%","22.9%","11.8%","17.8%","8.4%","89.7%","26.1%"
"Pueblo County, Colorado","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","112,202","3,726","10,044","31,543","29,229","13,901","15,381","8,378","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.3%","9.0%","28.1%","26.1%","12.4%","13.7%","7.5%","87.7%","21.2%"
"    Males","","","","","","","","","",""
"        Estimate","54,495","1,368","5,061","17,859","14,338","5,893","6,570","3,406","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.5%","9.3%","32.8%","26.3%","10.8%","12.1%","6.3%","88.2%","18.3%"
"    Females","","","","","","","","","",""
"        Estimate","57,707","2,358","4,983","13,684","14,891","8,008","8,811","4,972","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.1%","8.6%","23.7%","25.8%","13.9%","15.3%","8.6%","87.3%","23.9%"
"Weld County, Colorado","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","188,160","9,406","14,259","54,291","42,427","16,560","35,907","15,310","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","5.0%","7.6%","28.9%","22.5%","8.8%","19.1%","8.1%","87.4%","27.2%"
"    Males","","","","","","","","","",""
"        Estimate","94,182","5,037","7,858","29,641","20,241","7,025","17,461","6,919","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.3%","8.3%","31.5%","21.5%","7.5%","18.5%","7.3%","86.3%","25.9%"
"    Females","","","","","","","","","",""
"        Estimate","93,978","4,369","6,401","24,650","22,186","9,535","18,446","8,391","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.6%","6.8%","26.2%","23.6%","10.1%","19.6%","8.9%","88.5%","28.6%"
"Fairfield County, Connecticut","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","639,468","33,310","29,891","141,427","96,116","40,816","172,064","125,844","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","5.2%","4.7%","22.1%","15.0%","6.4%","26.9%","19.7%","90.1%","46.6%"
"    Males","","","","","","","","","",""
"        Estimate","303,996","17,228","14,620","68,163","46,712","16,486","78,039","62,748","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.7%","4.8%","22.4%","15.4%","5.4%","25.7%","20.6%","89.5%","46.3%"
"    Females","","","","","","","","","",""
"        Estimate","335,472","16,082","15,271","73,264","49,404","24,330","94,025","63,096","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.8%","4.6%","21.8%","14.7%","7.3%","28.0%","18.8%","90.7%","46.8%"
"Hartford County, Connecticut","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","619,835","28,520","37,350","173,731","101,424","48,394","132,691","97,725","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.6%","6.0%","28.0%","16.4%","7.8%","21.4%","15.8%","89.4%","37.2%"
"    Males","","","","","","","","","",""
"        Estimate","293,851","13,736","19,013","86,410","47,127","19,261","61,629","46,675","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.7%","6.5%","29.4%","16.0%","6.6%","21.0%","15.9%","88.9%","36.9%"
"    Females","","","","","","","","","",""
"        Estimate","325,984","14,784","18,337","87,321","54,297","29,133","71,062","51,050","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.5%","5.6%","26.8%","16.7%","8.9%","21.8%","15.7%","89.8%","37.5%"
"Litchfield County, Connecticut","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","134,791","3,174","5,935","39,025","24,437","12,639","29,716","19,865","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.4%","4.4%","29.0%","18.1%","9.4%","22.0%","14.7%","93.2%","36.8%"
"    Males","","","","","","","","","",""
"        Estimate","64,809","1,509","2,442","20,681","11,944","5,220","14,204","8,809","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.3%","3.8%","31.9%","18.4%","8.1%","21.9%","13.6%","93.9%","35.5%"
"    Females","","","","","","","","","",""
"        Estimate","69,982","1,665","3,493","18,344","12,493","7,419","15,512","11,056","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.4%","5.0%","26.2%","17.9%","10.6%","22.2%","15.8%","92.6%","38.0%"
"Middlesex County, Connecticut","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","117,918","2,863","3,504","32,210","19,370","10,679","29,777","19,515","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.4%","3.0%","27.3%","16.4%","9.1%","25.3%","16.5%","94.6%","41.8%"
"    Males","","","","","","","","","",""
"        Estimate","56,803","1,310","1,742","15,398","9,157","3,447","14,694","11,055","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.3%","3.1%","27.1%","16.1%","6.1%","25.9%","19.5%","94.6%","45.3%"
"    Females","","","","","","","","","",""
"        Estimate","61,115","1,553","1,762","16,812","10,213","7,232","15,083","8,460","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.5%","2.9%","27.5%","16.7%","11.8%","24.7%","13.8%","94.6%","38.5%"
"New Haven County, Connecticut","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","593,082","23,947","36,959","181,219","101,364","41,376","110,217","98,000","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.0%","6.2%","30.6%","17.1%","7.0%","18.6%","16.5%","89.7%","35.1%"
"    Males","","","","","","","","","",""
"        Estimate","279,215","9,341","19,121","93,779","45,049","15,869","53,833","42,223","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.3%","6.8%","33.6%","16.1%","5.7%","19.3%","15.1%","89.8%","34.4%"
"    Females","","","","","","","","","",""
