"Label (Grouping)","Total"
"    Estimate","66,186"
"Belmont County, Ohio",""
"    Estimate","68,673"
"Butler County, Ohio",""
"    Estimate","377,537"
"Clark County, Ohio",""
"    Estimate","134,786"
"Clermont County, Ohio",""
"    Estimate","203,022"
"Columbiana County, Ohio",""
"    Estimate","103,685"
"Cuyahoga County, Ohio",""
"    Estimate","1,249,352"
"Delaware County, Ohio",""
"    Estimate","196,463"
"Erie County, Ohio",""
"    Estimate","75,107"
"Fairfield County, Ohio",""
"    Estimate","152,597"
"Franklin County, Ohio",""
"    Estimate","1,264,518"
"Geauga County, Ohio",""
"    Estimate","94,060"
"Greene County, Ohio",""
"    Estimate","164,765"
"Hamilton County, Ohio",""
"    Estimate","809,099"
"Hancock County, Ohio",""
"    Estimate","75,872"
"Jefferson County, Ohio",""
"    Estimate","66,704"
"Lake County, Ohio",""
"    Estimate","228,614"
"Licking County, Ohio",""
"    Estimate","172,198"
"Lorain County, Ohio",""
"    Estimate","306,365"
"Lucas County, Ohio",""
"    Estimate","432,488"
"Mahoning County, Ohio",""
"    Estimate","230,008"
"Marion County, Ohio",""
"    Estimate","65,096"
"Medina County, Ohio",""
"    Estimate","177,221"
"Miami County, Ohio",""
"    Estimate","104,679"
"Montgomery County, Ohio",""
"    Estimate","531,239"
"Muskingum County, Ohio",""
"    Estimate","86,068"
"Portage County, Ohio",""
"    Estimate","161,921"
"Richland County, Ohio",""
"    Estimate","121,107"
"Ross County, Ohio",""
"    Estimate","77,000"
"Scioto County, Ohio",""
"    Estimate","76,088"
"Stark County, Ohio",""
"    Estimate","373,612"
"Summit County, Ohio",""
"    Estimate","540,300"
"Trumbull County, Ohio",""
"    Estimate","201,825"
"Tuscarawas County, Ohio",""
"    Estimate","92,420"
"Warren County, Ohio",""
"    Estimate","227,063"
"Wayne County, Ohio",""
"    Estimate","116,470"
"Wood County, Ohio",""
"    Estimate","130,219"
"Canadian County, Oklahoma",""
"    Estimate","136,532"
"Cleveland County, Oklahoma",""
"    Estimate","278,655"
"Comanche County, Oklahoma",""
"    Estimate","122,136"
"Creek County, Oklahoma",""
"    Estimate","71,312"
"Muskogee County, Oklahoma",""
"    Estimate","69,477"
"Oklahoma County, Oklahoma",""
"    Estimate","782,970"
"Payne County, Oklahoma",""
"    Estimate","81,131"
"Pottawatomie County, Oklahoma",""
"    Estimate","72,290"
"Rogers County, Oklahoma",""
"    Estimate","91,766"
"Tulsa County, Oklahoma",""
"    Estimate","642,940"
"Wagoner County, Oklahoma",""
"    Estimate","77,679"
"Benton County, Oregon",""
"    Estimate","89,385"
"Clackamas County, Oregon",""
"    Estimate","408,062"
"Deschutes County, Oregon",""
"    Estimate","181,307"
"Douglas County, Oregon",""
"    Estimate","108,457"
"Jackson County, Oregon",""
"    Estimate","216,527"
"Josephine County, Oregon",""
"    Estimate","85,904"
"Klamath County, Oregon",""
"    Estimate","66,443"
"Lane County, Oregon",""
"    Estimate","369,519"
"Linn County, Oregon",""
"    Estimate","122,849"
"Marion County, Oregon",""
"    Estimate","336,316"
"Multnomah County, Oregon",""
"    Estimate","799,766"
"Polk County, Oregon",""
"    Estimate","81,823"
"Umatilla County, Oregon",""
"    Estimate","76,456"
"Washington County, Oregon",""
"    Estimate","582,779"
"Yamhill County, Oregon",""
"    Estimate","105,035"
"Adams County, Pennsylvania",""
"    Estimate","102,180"
"Allegheny County, Pennsylvania",""
"    Estimate","1,225,365"
"Armstrong County, Pennsylvania",""
"    Estimate","66,486"
"Beaver County, Pennsylvania",""
"    Estimate","167,429"
"Berks County, Pennsylvania",""
"    Estimate","414,812"
"Blair County, Pennsylvania",""
"    Estimate","124,650"
"Bucks County, Pennsylvania",""
"    Estimate","626,399"
"Butler County, Pennsylvania",""
"    Estimate","186,847"
"Cambria County, Pennsylvania",""
"    Estimate","134,732"
"Carbon County, Pennsylvania",""
"    Estimate","63,594"
"Centre County, Pennsylvania",""
"    Estimate","161,464"
"Chester County, Pennsylvania",""
"    Estimate","516,312"
"Clearfield County, Pennsylvania",""
"    Estimate","80,596"
"Columbia County, Pennsylvania",""
"    Estimate","66,420"
"Crawford County, Pennsylvania",""
"    Estimate","86,257"
"Cumberland County, Pennsylvania",""
"    Estimate","248,506"
"Dauphin County, Pennsylvania",""
"    Estimate","273,707"
"Delaware County, Pennsylvania",""
"    Estimate","563,402"
"Erie County, Pennsylvania",""
"    Estimate","276,207"
"Fayette County, Pennsylvania",""
"    Estimate","132,733"
"Franklin County, Pennsylvania",""
"    Estimate","153,851"
"Indiana County, Pennsylvania",""
"    Estimate","86,364"
"Lackawanna County, Pennsylvania",""
"    Estimate","211,321"
"Lancaster County, Pennsylvania",""
"    Estimate","538,500"
"Lawrence County, Pennsylvania",""
"    Estimate","87,294"
"Lebanon County, Pennsylvania",""
"    Estimate","138,863"
"Lehigh County, Pennsylvania",""
"    Estimate","363,147"
"Luzerne County, Pennsylvania",""
"    Estimate","316,383"
"Lycoming County, Pennsylvania",""
"    Estimate","115,248"
"Mercer County, Pennsylvania",""
"    Estimate","112,913"
"Monroe County, Pennsylvania",""
"    Estimate","166,098"
"Montgomery County, Pennsylvania",""
"    Estimate","821,725"
"Northampton County, Pennsylvania",""
"    Estimate","302,294"
"Northumberland County, Pennsylvania",""
"    Estimate","92,541"
"Philadelphia County, Pennsylvania",""
"    Estimate","1,567,872"
"Schuylkill County, Pennsylvania",""
"    Estimate","143,573"
"Somerset County, Pennsylvania",""
"    Estimate","75,061"
"Washington County, Pennsylvania",""
"    Estimate","207,981"
"Westmoreland County, Pennsylvania",""
"    Estimate","355,458"
"York County, Pennsylvania",""
"    Estimate","443,744"
"Kent County, Rhode Island",""
"    Estimate","164,614"
"Newport County, Rhode Island",""
"    Estimate","82,784"
"Providence County, Rhode Island",""
"    Estimate","633,673"
"Washington County, Rhode Island",""
"    Estimate","126,288"
"Aiken County, South Carolina",""
"    Estimate","167,458"
"Anderson County, South Carolina",""
"    Estimate","196,569"
"Beaufort County, South Carolina",""
"    Estimate","183,149"
"Berkeley County, South Carolina",""
"    Estimate","210,898"
"Charleston County, South Carolina",""
"    Estimate","396,484"
"Darlington County, South Carolina",""
"    Estimate","67,234"
"Dorchester County, South Carolina",""
"    Estimate","153,773"
"Florence County, South Carolina",""
"    Estimate","138,742"
"Greenville County, South Carolina",""
"    Estimate","498,766"
"Greenwood County, South Carolina",""
"    Estimate","70,133"
"Horry County, South Carolina",""
"    Estimate","322,342"
"Lancaster County, South Carolina",""
"    Estimate","89,594"
"Laurens County, South Carolina",""
"    Estimate","66,777"
"Lexington County, South Carolina",""
"    Estimate","286,196"
"Oconee County, South Carolina",""
"    Estimate","76,355"
"Orangeburg County, South Carolina",""
"    Estimate","87,903"
"Pickens County, South Carolina",""
"    Estimate","122,863"
"Richland County, South Carolina",""
"    Estimate","409,549"
"Spartanburg County, South Carolina",""
"    Estimate","301,463"
"Sumter County, South Carolina",""
"    Estimate","107,396"
"York County, South Carolina",""
"    Estimate","258,526"
"Minnehaha County, South Dakota",""
"    Estimate","187,318"
"Pennington County, South Dakota",""
"    Estimate","109,372"
"Anderson County, Tennessee",""
"    Estimate","75,936"
"Blount County, Tennessee",""
"    Estimate","128,670"
"Bradley County, Tennessee",""
"    Estimate","104,490"
"Davidson County, Tennessee",""
"    Estimate","684,410"
"Greene County, Tennessee",""
"    Estimate","68,615"
"Hamilton County, Tennessee",""
"    Estimate","357,738"
"Knox County, Tennessee",""
"    Estimate","456,132"
"Madison County, Tennessee",""
"    Estimate","97,663"
"Maury County, Tennessee",""
"    Estimate","89,981"
"Montgomery County, Tennessee",""
"    Estimate","195,734"
"Putnam County, Tennessee",""
"    Estimate","75,931"
"Robertson County, Tennessee",""
"    Estimate","69,165"
"Rutherford County, Tennessee",""
"    Estimate","308,251"
"Sevier County, Tennessee",""
"    Estimate","96,673"
"Shelby County, Tennessee",""
"    Estimate","934,603"
"Sullivan County, Tennessee",""
"    Estimate","156,667"
"Sumner County, Tennessee",""
"    Estimate","180,063"
"Washington County, Tennessee",""
"    Estimate","127,440"
"Williamson County, Tennessee",""
"    Estimate","219,107"
"Wilson County, Tennessee",""
"    Estimate","132,781"
"Angelina County, Texas",""
"    Estimate","87,791"
"Bastrop County, Texas",""
"    Estimate","82,733"
"Bell County, Texas",""
"    Estimate","340,411"
"Bexar County, Texas",""
"    Estimate","1,928,680"
"Bowie County, Texas",""
"    Estimate","93,860"
"Brazoria County, Texas",""
"    Estimate","354,195"
"Brazos County, Texas",""
"    Estimate","220,417"
"Cameron County, Texas",""
"    Estimate","422,135"
"Collin County, Texas",""
"    Estimate","939,585"
"Comal County, Texas",""
"    Estimate","134,788"
"Coryell County, Texas",""
"    Estimate","74,686"
"Dallas County, Texas",""
"    Estimate","2,574,984"
"Denton County, Texas",""
"    Estimate","806,180"
"Ector County, Texas",""
"    Estimate","157,462"
"Ellis County, Texas",""
"    Estimate","168,499"
"El Paso County, Texas",""
"    Estimate","837,918"
"Fort Bend County, Texas",""
"    Estimate","741,237"
"Galveston County, Texas",""
"    Estimate","329,431"
"Grayson County, Texas",""
"    Estimate","128,235"
"Gregg County, Texas",""
"    Estimate","123,745"
"Guadalupe County, Texas",""
"    Estimate","155,265"
"Harris County, Texas",""
"    Estimate","4,589,928"
"Harrison County, Texas",""
"    Estimate","66,534"
"Hays County, Texas",""
"    Estimate","204,470"
"Henderson County, Texas",""
"    Estimate","79,901"
"Hidalgo County, Texas",""
"    Estimate","849,843"
"Hunt County, Texas",""
"    Estimate","92,073"
"Jefferson County, Texas",""
"    Estimate","254,679"
"Johnson County, Texas",""
"    Estimate","163,274"
"Kaufman County, Texas",""
"    Estimate","118,350"
"Liberty County, Texas",""
"    Estimate","81,704"
"Lubbock County, Texas",""
"    Estimate","303,137"
"McLennan County, Texas",""
"    Estimate","247,934"
"Midland County, Texas",""
"    Estimate","162,565"
"Montgomery County, Texas",""
"    Estimate","556,203"
"Nacogdoches County, Texas",""
"    Estimate","65,806"
"Nueces County, Texas",""
"    Estimate","361,350"
"Orange County, Texas",""
"    Estimate","84,964"
"Parker County, Texas",""
"    Estimate","129,441"
"Potter County, Texas",""
"    Estimate","120,832"
"Randall County, Texas",""
"    Estimate","132,501"
"Rockwall County, Texas",""
"    Estimate","93,978"
"San Patricio County, Texas",""
"    Estimate","67,655"
"Smith County, Texas",""
"    Estimate","225,290"
"Tarrant County, Texas",""
"    Estimate","2,016,872"
"Taylor County, Texas",""
"    Estimate","136,535"
"Tom Green County, Texas",""
"    Estimate","118,386"
"Travis County, Texas",""
"    Estimate","1,199,323"
"Victoria County, Texas",""
"    Estimate","92,467"
"Walker County, Texas",""
"    Estimate","71,484"
"Webb County, Texas",""
"    Estimate","271,193"
"Wichita County, Texas",""
"    Estimate","131,838"
"Williamson County, Texas",""
"    Estimate","528,718"
"Cache County, Utah",""
"    Estimate","122,753"
"Davis County, Utah",""
"    Estimate","342,281"
"Salt Lake County, Utah",""
"    Estimate","1,121,354"
"Utah County, Utah",""
"    Estimate","592,299"
"Washington County, Utah",""
"    Estimate","160,245"
"Weber County, Utah",""
"    Estimate","247,560"
"Chittenden County, Vermont",""
"    Estimate","161,531"
"Albemarle County, Virginia",""
"    Estimate","106,878"
"Arlington County, Virginia",""
"    Estimate","230,050"
"Augusta County, Virginia",""
"    Estimate","74,997"
"Bedford County, Virginia",""
"    Estimate","77,960"
"Chesterfield County, Virginia",""
"    Estimate","339,009"
"Fairfax County, Virginia",""
"    Estimate","1,138,652"
"Fauquier County, Virginia",""
"    Estimate","69,069"
"Frederick County, Virginia",""
"    Estimate","84,421"
"Hanover County, Virginia",""
"    Estimate","104,392"
"Henrico County, Virginia",""
"    Estimate","326,501"
"James City County, Virginia",""
"    Estimate","74,404"
"Loudoun County, Virginia",""
"    Estimate","385,945"
"Montgomery County, Virginia",""
"    Estimate","98,602"
"Prince William County, Virginia",""
"    Estimate","455,210"
"Roanoke County, Virginia",""
"    Estimate","94,031"
"Rockingham County, Virginia",""
"    Estimate","79,744"
"Spotsylvania County, Virginia",""
"    Estimate","132,010"
"Stafford County, Virginia",""
"    Estimate","144,361"
"York County, Virginia",""
"    Estimate","67,976"
"Alexandria city, Virginia",""
"    Estimate","155,810"
"Chesapeake city, Virginia",""
"    Estimate","237,940"
"Hampton city, Virginia",""
"    Estimate","135,410"
"Lynchburg city, Virginia",""
"    Estimate","80,212"
"Newport News city, Virginia",""
"    Estimate","181,825"
"Norfolk city, Virginia",""
"    Estimate","245,115"
"Portsmouth city, Virginia",""
"    Estimate","95,252"
"Richmond city, Virginia",""
"    Estimate","223,170"
"Roanoke city, Virginia",""
"    Estimate","99,660"
"Suffolk city, Virginia",""
"    Estimate","89,273"
"Virginia Beach city, Virginia",""
"    Estimate","452,602"
"Benton County, Washington",""
"    Estimate","193,686"
"Chelan County, Washington",""
"    Estimate","76,338"
"Clallam County, Washington",""
"    Estimate","74,570"
"Clark County, Washington",""
"    Estimate","467,018"
"Cowlitz County, Washington",""
"    Estimate","105,160"
"Franklin County, Washington",""
"    Estimate","90,160"
"Grant County, Washington",""
"    Estimate","93,546"
"Grays Harbor County, Washington",""
"    Estimate","71,628"
"Island County, Washington",""
"    Estimate","82,636"
"King County, Washington",""
"    Estimate","2,149,970"
"Kitsap County, Washington",""
"    Estimate","264,811"
"Lewis County, Washington",""
"    Estimate","77,066"
"Pierce County, Washington",""
"    Estimate","861,312"
"Skagit County, Washington",""
"    Estimate","123,681"
"Snohomish County, Washington",""
"    Estimate","787,620"
"Spokane County, Washington",""
"    Estimate","499,072"
"Thurston County, Washington",""
"    Estimate","275,222"
"Whatcom County, Washington",""
"    Estimate","216,800"
"Yakima County, Washington",""
"    Estimate","249,636"
"Berkeley County, West Virginia",""
"    Estimate","113,525"
"Cabell County, West Virginia",""
"    Estimate","95,987"
"Harrison County, West Virginia",""
"    Estimate","68,400"
"Kanawha County, West Virginia",""
"    Estimate","186,241"
"Monongalia County, West Virginia",""
"    Estimate","104,622"
"Raleigh County, West Virginia",""
"    Estimate","76,601"
"Wood County, West Virginia",""
"    Estimate","85,643"
"Brown County, Wisconsin",""
"    Estimate","260,401"
"Dane County, Wisconsin",""
"    Estimate","531,273"
"Dodge County, Wisconsin",""
"    Estimate","88,068"
"Eau Claire County, Wisconsin",""
"    Estimate","102,965"
"Fond du Lac County, Wisconsin",""
"    Estimate","102,144"
"Jefferson County, Wisconsin",""
"    Estimate","84,625"
"Kenosha County, Wisconsin",""
"    Estimate","168,183"
"La Crosse County, Wisconsin",""
"    Estimate","118,122"
"Manitowoc County, Wisconsin",""
"    Estimate","79,536"
"Marathon County, Wisconsin",""
"    Estimate","135,603"
"Milwaukee County, Wisconsin",""
"    Estimate","951,448"
"Outagamie County, Wisconsin",""
"    Estimate","184,526"
"Ozaukee County, Wisconsin",""
"    Estimate","88,314"
"Portage County, Wisconsin",""
"    Estimate","70,447"
"Racine County, Wisconsin",""
"    Estimate","195,140"
"Rock County, Wisconsin",""
"    Estimate","161,620"
"St. Croix County, Wisconsin",""
"    Estimate","88,029"
"Sheboygan County, Wisconsin",""
"    Estimate","115,427"
"Walworth County, Wisconsin",""
"    Estimate","102,959"
"Washington County, Wisconsin",""
"    Estimate","134,296"
"Waukesha County, Wisconsin",""
"    Estimate","398,424"
"Winnebago County, Wisconsin",""
"    Estimate","169,886"
"Wood County, Wisconsin",""
"    Estimate","73,107"
"Laramie County, Wyoming",""
"    Estimate","98,136"
"Natrona County, Wyoming",""
"    Estimate","81,039"
"Arecibo Municipio, Puerto Rico",""
"    Estimate","87,939"
"Bayamón Municipio, Puerto Rico",""
"    Estimate","184,374"
"Caguas Municipio, Puerto Rico",""
"    Estimate","132,164"
"Carolina Municipio, Puerto Rico",""
"    Estimate","158,457"
"Guaynabo Municipio, Puerto Rico",""
"    Estimate","89,307"
"Mayagüez Municipio, Puerto Rico",""
"    Estimate","77,748"
"Ponce Municipio, Puerto Rico",""
"    Estimate","145,278"
"San Juan Municipio, Puerto Rico",""
"    Estimate","347,052"
"Toa Alta Municipio, Puerto Rico",""
"    Estimate","73,980"
"Toa Baja Municipio, Puerto Rico",""
"    Estimate","80,207"
"Trujillo Alto Municipio, Puerto Rico",""
"    Estimate","68,242"
